,有價證券代號,有價證券名稱,有價證券別,產業別,發行日
488,2548,華固,股票,建材營造業,2002/08/26
489,2597,潤弘,股票,建材營造業,2010/03/26
490,2601,益航,股票,貿易百貨業,1965/11/04
491,2603,長榮,股票,航運業,1987/09/21
492,2605,新興,股票,航運業,1989/12/08
493,2606,裕民,股票,航運業,1990/12/08
494,2607,榮運,股票,航運業,1990/12/14
495,2608,嘉里大榮,股票,航運業,1990/12/20
496,2609,陽明,股票,航運業,1992/04/20
497,2610,華航,股票,航運業,1993/02/26
498,2611,志信,股票,航運業,1993/10/28
499,2612,中航,股票,航運業,1994/10/20
500,2613,中櫃,股票,航運業,1995/01/20
501,2614,東森,股票,貿易百貨業,1995/09/23
502,2615,萬海,股票,航運業,1996/05/16
503,2616,山隆,股票,油電燃氣業,1997/11/08
504,2617,台航,股票,航運業,1998/06/24
505,2618,長榮航,股票,航運業,2001/09/17
506,2630,亞航,股票,航運業,2018/02/22
507,2633,台灣高鐵,股票,航運業,2016/10/27
508,2634,漢翔,股票,航運業,2014/08/25
509,2636,台驊投控,股票,航運業,2016/12/22
510,2637,慧洋-KY,股票,航運業,2010/12/01
511,2642,宅配通,股票,航運業,2013/12/12
512,2701,萬企,股票,觀光事業,1965/03/22
513,2702,華園,股票,觀光事業,1965/02/14
514,2704,國賓,股票,觀光事業,1982/11/10
515,2705,六福,股票,觀光事業,1988/12/24
516,2706,第一店,股票,觀光事業,1991/06/25
517,2707,晶華,股票,觀光事業,1998/03/09
518,2712,遠雄來,股票,觀光事業,2013/12/03
519,2722,夏都,股票,觀光事業,2012/03/14
520,2723,美食-KY,股票,觀光事業,2010/11/22
521,2727,王品,股票,觀光事業,2012/03/06
522,2731,雄獅,股票,觀光事業,2013/09/24
523,2739,寒舍,股票,觀光事業,2016/05/19
524,2748,雲品,股票,觀光事業,2016/11/23
525,2801,彰銀,股票,金融保險業,1962/02/15
526,2809,京城銀,股票,金融保險業,1983/07/20
527,2812,台中銀,股票,金融保險業,1984/05/15
528,2816,旺旺保,股票,金融保險業,1992/05/05
529,2820,華票,股票,金融保險業,1994/10/26
530,2823,中壽,股票,金融保險業,1995/02/08
531,2832,台產,股票,金融保險業,1997/09/30
532,2834,臺企銀,股票,金融保險業,1998/01/03
533,2836,高雄銀,股票,金融保險業,1998/05/18
534,2838,聯邦銀,股票,金融保險業,1998/06/29
535,2841,台開,股票,建材營造業,1999/01/08
536,2845,遠東銀,股票,金融保險業,1998/11/27
